GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01306,1600.0,19.0,1441.0,784.0,54.406662040249834,10
01307,843.0,15.0,843.0,394.0,46.73784104389087,7
01308,792.0,15.0,792.0,168.0,21.21212121212121,3
01309,79.0,7.0,79.0,8.0,10.126582278481013,1
01310,245.0,11.0,130.0,26.0,20.0,2
01311,47.0,7.0,47.0,5.0,10.638297872340425,1
01313,9081.0,29.0,9081.0,3741.0,41.19590353485299,12
01314,1803.0,19.0,1803.0,333.0,18.469217970049918,4
01317,332.0,11.0,332.0,25.0,7.530120481927711,1
01318,760.0,15.0,760.0,29.0,3.8157894736842106,1
01319,467.0,11.0,467.0,91.0,19.48608137044968,2
01320,3929.0,27.0,3917.0,895.0,22.84911922389584,6
01321,905.0,15.0,905.0,130.0,14.3646408839779,2
01322,5228.0,29.0,4982.0,1201.0,24.106784423926133,7
01323,1003.0,15.0,936.0,160.0,17.094017094017094,3
01325,1131.0,15.0,1131.0,197.0,17.418213969938108,3
01328,628.0,15.0,532.0,146.0,27.44360902255639,4
01329,164.0,11.0,164.0,37.0,22.5609756097561,2
01330,174.0,11.0,,,,
01331,195.0,11.0,195.0,26.0,13.333333333333334,1
01332,819.0,15.0,819.0,123.0,15.018315018315018,2
01333,3369.0,23.0,3308.0,916.0,27.690447400241837,6
01334,671.0,15.0,671.0,96.0,14.307004470938898,2
01335,427.0,11.0,427.0,40.0,9.367681498829041,1
01336,1216.0,15.0,1216.0,310.0,25.493421052631575,4
01337,1351.0,15.0,1351.0,250.0,18.50481125092524,3
01338,1232.0,15.0,1232.0,246.0,19.967532467532468,3
01339,1544.0,19.0,1469.0,152.0,10.347174948944861,2
01342,548.0,15.0,548.0,83.0,15.145985401459855,2
01343,1867.0,19.0,1867.0,399.0,21.37118371719336,4
01344,6078.0,29.0,6078.0,1770.0,29.121421520236918,8
01345,2258.0,19.0,2258.0,606.0,26.83790965456156,5
01346,845.0,15.0,845.0,144.0,17.041420118343193,3
01347,2176.0,19.0,2176.0,336.0,15.441176470588236,3
01348,2969.0,23.0,2969.0,689.0,23.206466823846412,5
01349,524.0,15.0,524.0,76.0,14.50381679389313,2
01350,2569.0,23.0,2569.0,664.0,25.8466329311016,6
01351,1625.0,19.0,1625.0,317.0,19.507692307692306,4
01352,576.0,15.0,576.0,78.0,13.541666666666666,2
01353,1741.0,19.0,1741.0,238.0,13.670304422745549,3
01354,14584.0,33.0,14456.0,7726.0,53.444936358605425,18
01355,488.0,11.0,488.0,110.0,22.540983606557376,2
01356,214.0,11.0,214.0,26.0,12.149532710280374,1
01357,505.0,15.0,505.0,175.0,34.65346534653465,5
01358,423.0,11.0,423.0,91.0,21.513002364066196,2
01359,262.0,11.0,262.0,56.0,21.374045801526716,2
01360,2042.0,19.0,2003.0,448.0,22.366450324513227,4
01361,1862.0,19.0,1862.0,210.0,11.278195488721805,2
01362,850.0,15.0,850.0,123.0,14.470588235294118,2
01363,1799.0,19.0,1799.0,476.0,26.459143968871597,5
01364,764.0,15.0,764.0,173.0,22.643979057591622,3
01365,1154.0,15.0,1144.0,241.0,21.066433566433567,3
01366,1092.0,15.0,1092.0,194.0,17.765567765567766,3
01367,687.0,15.0,687.0,191.0,27.802037845705968,4
01368,853.0,15.0,853.0,147.0,17.23329425556858,3
01369,953.0,15.0,906.0,129.0,14.23841059602649,2
01370,1735.0,19.0,1613.0,1238.0,76.75139491630503,15
01371,1300.0,15.0,1300.0,270.0,20.76923076923077,3
01372,431.0,11.0,414.0,67.0,16.183574879227052,2
01373,1027.0,15.0,1008.0,342.0,33.92857142857143,5
01374,1953.0,19.0,1953.0,353.0,18.074756784434204,3
01375,784.0,15.0,784.0,132.0,16.83673469387755,3
01376,4243.0,27.0,4197.0,1509.0,35.95425303788421,10
01378,2826.0,23.0,2826.0,458.0,16.206652512385,4
01379,758.0,15.0,758.0,213.0,28.100263852242747,4
01380,589.0,15.0,557.0,63.0,11.310592459605028,2
01381,922.0,15.0,919.0,171.0,18.607181719260065,3
01382,357.0,11.0,357.0,47.0,13.165266106442578,1
01383,1637.0,19.0,1578.0,485.0,30.73510773130545,6
