TYPECOM,COM,NCC,NCCENR,LIBELLE,COMPARENT
COM,67241,KIRRBERG,Kirrberg,Kirrberg,
COM,67242,KIRRWILLER,Kirrwiller,Kirrwiller,
COMA,67243,KLEINFRANKENHEIM,Kleinfrankenheim,Kleinfrankenheim,67452.0
COM,67244,KLEINGOEFT,Kleingœft,Kleingœft,
COM,67245,KNOERSHEIM,Knœrsheim,Knœrsheim,
COM,67246,KOGENHEIM,Kogenheim,Kogenheim,
COM,67247,KOLBSHEIM,Kolbsheim,Kolbsheim,
COM,67248,KRAUTERGERSHEIM,Krautergersheim,Krautergersheim,
COM,67249,KRAUTWILLER,Krautwiller,Krautwiller,
COM,67250,KRIEGSHEIM,Kriegsheim,Kriegsheim,
COMA,67251,KUHLENDORF,Kuhlendorf,Kuhlendorf,67339.0
COM,67252,KURTZENHOUSE,Kurtzenhouse,Kurtzenhouse,
COM,67253,KUTTOLSHEIM,Kuttolsheim,Kuttolsheim,
COM,67254,KUTZENHAUSEN,Kutzenhausen,Kutzenhausen,
COM,67255,LALAYE,Lalaye,Lalaye,
COM,67256,LAMPERTHEIM,Lampertheim,Lampertheim,
COM,67257,LAMPERTSLOCH,Lampertsloch,Lampertsloch,
COM,67258,LANDERSHEIM,Landersheim,Landersheim,
COM,67259,LANGENSOULTZBACH,Langensoultzbach,Langensoultzbach,
COM,67260,LAUBACH,Laubach,Laubach,
COM,67261,LAUTERBOURG,Lauterbourg,Lauterbourg,
COMA,67262,LEITERSWILLER,Leiterswiller,Leiterswiller,67206.0
COM,67263,LEMBACH,Lembach,Lembach,
COM,67264,LEUTENHEIM,Leutenheim,Leutenheim,
COM,67265,LICHTENBERG,Lichtenberg,Lichtenberg,
COM,67266,LIMERSHEIM,Limersheim,Limersheim,
COM,67267,LINGOLSHEIM,Lingolsheim,Lingolsheim,
COM,67268,LIPSHEIM,Lipsheim,Lipsheim,
COM,67269,LITTENHEIM,Littenheim,Littenheim,
COM,67270,LIXHAUSEN,Lixhausen,Lixhausen,
COM,67271,LOBSANN,Lobsann,Lobsann,
COM,67272,LOCHWILLER,Lochwiller,Lochwiller,
COM,67273,LOHR,Lohr,Lohr,
COM,67274,LORENTZEN,Lorentzen,Lorentzen,
COM,67275,LUPSTEIN,Lupstein,Lupstein,
COM,67276,LUTZELHOUSE,Lutzelhouse,Lutzelhouse,
COM,67277,MACKENHEIM,Mackenheim,Mackenheim,
COM,67278,MACKWILLER,Mackwiller,Mackwiller,
COM,67279,MAENNOLSHEIM,Maennolsheim,Maennolsheim,
COM,67280,MAISONSGOUTTE,Maisonsgoutte,Maisonsgoutte,
COM,67281,MARCKOLSHEIM,Marckolsheim,Marckolsheim,
COM,67282,MARLENHEIM,Marlenheim,Marlenheim,
COM,67283,MARMOUTIER,Marmoutier,Marmoutier,
COMA,67284,MATTSTALL,Mattstall,Mattstall,67263.0
COM,67285,MATZENHEIM,Matzenheim,Matzenheim,
COM,67286,MEISTRATZHEIM,Meistratzheim,Meistratzheim,
COM,67287,MELSHEIM,Melsheim,Melsheim,
COM,67288,MEMMELSHOFFEN,Memmelshoffen,Memmelshoffen,
COM,67289,MENCHHOFFEN,Menchhoffen,Menchhoffen,
COM,67290,MERKWILLER PECHELBRONN,Merkwiller-Pechelbronn,Merkwiller-Pechelbronn,
COM,67291,MERTZWILLER,Mertzwiller,Mertzwiller,
COM,67292,MIETESHEIM,Mietesheim,Mietesheim,
COM,67293,MINVERSHEIM,Minversheim,Minversheim,
COMA,67294,MITSCHDORF,Mitschdorf,Mitschdorf,67160.0
COM,67295,MITTELBERGHEIM,Mittelbergheim,Mittelbergheim,
COM,67296,MITTELHAUSBERGEN,Mittelhausbergen,Mittelhausbergen,
COMD,67297,MITTELHAUSEN,Mittelhausen,Mittelhausen,67539.0
COM,67298,MITTELSCHAEFFOLSHEIM,Mittelschaeffolsheim,Mittelschaeffolsheim,
COM,67299,MOLLKIRCH,Mollkirch,Mollkirch,
COM,67300,MOLSHEIM,Molsheim,Molsheim,
COM,67301,MOMMENHEIM,Mommenheim,Mommenheim,
COM,67302,MONSWILLER,Monswiller,Monswiller,
COM,67303,MORSBRONN LES BAINS,Morsbronn-les-Bains,Morsbronn-les-Bains,
COM,67304,MORSCHWILLER,Morschwiller,Morschwiller,
COM,67305,MOTHERN,Mothern,Mothern,
COM,67306,MUHLBACH SUR BRUCHE,Muhlbach-sur-Bruche,Muhlbach-sur-Bruche,
